date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:08	140981/140981	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2012:36:07%20GMT	http://magedemo.solwininfotech.com/magento2/freego/theme/white	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/white.html	(from )
16:36:08	301/301	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Jun%202019%2012:36:08%20GMT	http://magedemo.solwininfotech.com/robots.txt		(from )
16:36:08	6277/6277	---M-Z	200	added ('OK')	text/css	etag:%221885-581d3eb0e6778-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/mage/calendar.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/mage/calendar.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:09	304114/304114	---M-Z	200	added ('OK')	text/css	etag:%224a3f2-581d3e9dc01c3-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/css/styles-m.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/css/styles-m.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:10	1094/1094	---M-Z	200	added ('OK')	text/css	etag:%22446-581d3e91b3242-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_ScrolltoTop/css/scroll.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_ScrolltoTop/css/scroll.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:10	1497/1497	---M-Z	200	added ('OK')	text/css	etag:%225d9-581d3e91ac4e2-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/owl.carousel.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/owl.carousel.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:10	2247/2247	---M-Z	200	added ('OK')	text/css	etag:%228c7-581d3e91ac4e2-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/owl.theme.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/owl.theme.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:11	4476/4476	---M-Z	200	added ('OK')	text/css	etag:%22117c-581d3e91ad482-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/owl.transitions.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/owl.transitions.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:11	4895/4895	---M-Z	200	added ('OK')	text/css	etag:%22131f-581d3e91ae422-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/fancybox/jquery.fancybox.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/fancybox/jquery.fancybox.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:11	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%226b4a-581d3e91ab542-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/font-awesome.min.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/Solwin_Cpanel/css/font-awesome.min.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:12	118749/118749	---M-Z	200	added ('OK')	text/css	etag:%221cfdd-581d3e9675e4f-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/css/styles-l.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/css/styles-l.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:12	30507/30507	---M-Z	200	added ('OK')	text/css	etag:%22772b-581d3e92fc3e5-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/css/print.css	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/css/print.css	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:13	7959/7959	---M-Z	200	added ('OK')	application/javascript	etag:%221f17-581d3eb0f80b8-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/mage/requirejs/mixins.js	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/mage/requirejs/mixins.js	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
16:36:13	82717/82717	---M-Z	200	added ('OK')	application/javascript	etag:%221431d-581d3e9e37404-gzip%22	http://magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/requirejs/require.js	Z:/My%20Web%20Sites/magento_theme_project/magedemo.solwininfotech.com/magento2/freego/theme/pub/static/frontend/Solwin/freego/en_US/requirejs/require.js	(from http://magedemo.solwininfotech.com/magento2/freego/theme/white)
